date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:52	334050/334050	---M-Z	200	added ('OK')	text/html	etag:%22518e2-609d8efc436ac-gzip%22	https://www.accenture.com/us-en/industries/banking-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/banking-index.html	(from https://www.accenture.com/us-en)
12:47:55	285365/285365	---M-Z	200	added ('OK')	text/html	etag:W/%2245ab5-609db3c497d30-gzip%22	https://www.accenture.com/us-en/industries/capital-markets-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/capital-markets-index.html	(from https://www.accenture.com/us-en)
12:47:55	279841/279841	---M-Z	200	added ('OK')	text/html	etag:%2244521-609da42af6025-gzip%22	https://www.accenture.com/us-en/industries/chemicals-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/chemicals-index.html	(from https://www.accenture.com/us-en)
12:47:55	228298/228298	---M-Z	200	added ('OK')	text/html	etag:%2237bca-609d8853e6fa9-gzip%22	https://www.accenture.com/us-en/industries/communications-and-media-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/communications-and-media-index.html	(from https://www.accenture.com/us-en)
12:47:56	306845/306845	---M-Z	200	added ('OK')	text/html	etag:%224ae9d-609da26dcae5a-gzip%22	https://www.accenture.com/us-en/industries/consumer-goods-and-services-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/consumer-goods-and-services-index.html	(from https://www.accenture.com/us-en)
12:47:56	342650/342650	---M-Z	200	added ('OK')	text/html	etag:%2253a7a-609d8849727d6-gzip%22	https://www.accenture.com/us-en/industries/energy-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/energy-index.html	(from https://www.accenture.com/us-en)
12:47:57	316986/316986	---M-Z	200	added ('OK')	text/html	etag:%224d63a-609d937e3ae5c-gzip%22	https://www.accenture.com/us-en/industries/health-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/health-index.html	(from https://www.accenture.com/us-en)
12:47:57	314155/314155	---M-Z	200	added ('OK')	text/html	etag:%224cb2b-609da09abd0b4-gzip%22	https://www.accenture.com/us-en/industries/high-tech-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/high-tech-index.html	(from https://www.accenture.com/us-en)
12:47:57	297369/297369	---M-Z	200	added ('OK')	text/html	etag:%2248999-609d8ec32dd14-gzip%22	https://www.accenture.com/us-en/industries/industrial-equipment-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/industrial-equipment-index.html	(from https://www.accenture.com/us-en)
12:47:58	276885/276885	---M-Z	200	added ('OK')	text/html	etag:%2243995-609d9903a81c7-gzip%22	https://www.accenture.com/us-en/industries/insurance-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/insurance-index.html	(from https://www.accenture.com/us-en)
12:48:01	391964/391964	---M-Z	200	added ('OK')	text/html	etag:W/%225fb1c-609db3ca9bbdc-gzip%22	https://www.accenture.com/us-en/industries/life-sciences-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/life-sciences-index.html	(from https://www.accenture.com/us-en)
12:48:01	261933/261933	---M-Z	200	added ('OK')	text/html	etag:%223ff2d-609d937ed45a6-gzip%22	https://www.accenture.com/us-en/industries/natural-resources-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/natural-resources-index.html	(from https://www.accenture.com/us-en)
12:48:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Nov%202023%2007:18:01%20GMT	https://www.accenture.com/us-en/industries/public-service-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/public-service-index	(from https://www.accenture.com/us-en)
12:48:02	396449/396449	---M-Z	200	added ('OK')	text/html	etag:%2260ca1-609d937845ab6-gzip%22	https://www.accenture.com/gb-en/industries/public-service-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/gb-en/industries/public-service-index.html	(from https://www.accenture.com/us-en)
12:48:02	256285/256285	---M-Z	200	added ('OK')	text/html	etag:%223e91d-609d8b0dcbf00-gzip%22	https://www.accenture.com/us-en/industries/retail-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/retail-index.html	(from https://www.accenture.com/us-en)
12:48:03	267737/267737	---M-Z	200	added ('OK')	text/html	etag:%22415d9-609d9c5d5e8fa-gzip%22	https://www.accenture.com/us-en/industries/software-and-platforms-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/software-and-platforms-index.html	(from https://www.accenture.com/us-en)
12:48:03	326349/326349	---M-Z	200	added ('OK')	text/html	etag:%224facd-609d933f604f6-gzip%22	https://www.accenture.com/us-en/industries/travel-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/travel-index.html	(from https://www.accenture.com/us-en)
12:48:03	286669/286669	---M-Z	200	added ('OK')	text/html	etag:%2245fcd-609d852b76d08-gzip%22	https://www.accenture.com/us-en/industries/afs-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/afs-index.html	(from https://www.accenture.com/us-en)
12:48:03	252346/252346	---M-Z	200	added ('OK')	text/html	etag:W/%223d9ba-609da469f7298-gzip%22	https://www.accenture.com/us-en/industries/utilities-index	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/industries/utilities-index.html	(from https://www.accenture.com/us-en)
12:48:04	244791/244791	---M-Z	200	added ('OK')	text/html	etag:%223bc37-609d933a17803-gzip%22	https://www.accenture.com/us-en/careers	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/careers.html	(from https://www.accenture.com/us-en)
12:48:04	239355/239355	---M-Z	200	added ('OK')	text/html	etag:%223a6fb-609d819681e7a-gzip%22	https://www.accenture.com/us-en/careers/jobsearch	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/careers/jobsearch.html	(from https://www.accenture.com/us-en)
12:48:05	183805/183805	---M-Z	200	added ('OK')	text/html	etag:%222cdfd-609dad84ac00e-gzip%22	https://www.accenture.com/us-en/careers/life-at-accenture/leadership-careers	D:/acc/Accenture%20US%20Home%20Page/www.accenture.com/us-en/careers/life-at-accenture/leadership-careers.html	(from https://www.accenture.com/us-en)
